0,4.0,7.0,2.0,-1.0,0.0,5.0,3.0,-1.0,8.0,6.0,1.0,9.0
1,4.0,0.0,5.0,3.0,-1.0,1.0,9.0,7.0,-1.0,8.0,6.0,2.0
2,4.0,3.0,5.0,-1.0,9.0,1.0,7.0,-1.0,8.0,6.0,0.0,2.0
3,4.0,8.0,9.0,-1.0,5.0,3.0,6.0,-1.0,0.0,2.0,7.0,1.0
4,0.0,4.0,1.0,9.0,-1.0,7.0,2.0,-1.0,5.0,3.0,8.0,6.0
5,2.0,7.0,0.0,-1.0,9.0,4.0,1.0,-1.0,8.0,6.0,3.0,5.0
6,8.0,9.0,4.0,-1.0,0.0,2.0,7.0,1.0,-1.0,5.0,3.0,6.0
7,4.0,2.0,7.0,-1.0,0.0,9.0,1.0,-1.0,5.0,3.0,8.0,6.0
8,6.0,9.0,1.0,-1.0,8.0,3.0,5.0,-1.0,4.0,0.0,2.0,7.0
9,7.0,0.0,2.0,-1.0,8.0,6.0,3.0,5.0,-1.0,1.0,4.0,9.0
10,5.0,2.0,7.0,-1.0,0.0,4.0,9.0,1.0,-1.0,3.0,8.0,6.0
11,7.0,0.0,2.0,-1.0,4.0,1.0,9.0,-1.0,8.0,6.0,3.0,5.0
12,0.0,3.0,5.0,-1.0,8.0,6.0,1.0,9.0,-1.0,4.0,7.0,2.0
13,0.0,2.0,7.0,-1.0,8.0,5.0,3.0,-1.0,6.0,4.0,1.0,9.0
14,4.0,0.0,2.0,7.0,-1.0,6.0,8.0,1.0,9.0,-1.0,5.0,3.0
15,1.0,7.0,2.0,-1.0,4.0,0.0,5.0,3.0,-1.0,8.0,6.0,9.0
16,3.0,6.0,8.0,-1.0,0.0,4.0,1.0,9.0,-1.0,5.0,2.0,7.0
17,5.0,7.0,-1.0,8.0,6.0,4.0,9.0,1.0,-1.0,2.0,0.0,3.0
18,7.0,0.0,2.0,-1.0,4.0,9.0,1.0,-1.0,8.0,6.0,3.0,5.0
19,2.0,7.0,1.0,-1.0,0.0,4.0,9.0,-1.0,8.0,6.0,3.0,5.0
20,9.0,1.0,-1.0,4.0,0.0,2.0,7.0,-1.0,5.0,3.0,8.0,6.0
21,6.0,1.0,9.0,-1.0,4.0,0.0,2.0,7.0,-1.0,8.0,3.0,5.0
22,2.0,4.0,8.0,-1.0,0.0,5.0,3.0,6.0,-1.0,1.0,9.0,7.0
23,3.0,5.0,-1.0,6.0,8.0,4.0,1.0,9.0,-1.0,2.0,7.0,0.0
24,4.0,8.0,6.0,3.0,-1.0,0.0,1.0,9.0,-1.0,5.0,2.0,7.0
25,7.0,0.0,2.0,-1.0,8.0,6.0,3.0,5.0,-1.0,9.0,1.0,4.0
26,8.0,6.0,3.0,5.0,-1.0,1.0,4.0,9.0,-1.0,2.0,7.0,0.0
27,4.0,2.0,7.0,-1.0,0.0,3.0,5.0,-1.0,8.0,6.0,1.0,9.0
28,8.0,9.0,4.0,-1.0,5.0,3.0,6.0,-1.0,0.0,2.0,7.0,1.0
29,8.0,6.0,3.0,5.0,-1.0,0.0,1.0,9.0,-1.0,2.0,7.0,4.0
30,8.0,1.0,7.0,-1.0,0.0,2.0,5.0,3.0,-1.0,9.0,4.0,6.0
31,7.0,0.0,2.0,-1.0,5.0,3.0,6.0,-1.0,8.0,4.0,9.0,1.0
